Year,Car Make,Car Color,Mileage
1984,Chevrolet,Purple,73973
2005,Volkswagen,Goldenrod,23786
2003,Mazda,Khaki,44418
2007,Ford,Puce,32900
2008,Porsche,Orange,89808
1997,Chevrolet,Indigo,42287
1995,Pontiac,Indigo,87080
2004,Chevrolet,Orange,111
2003,Volvo,Orange,44796
1996,Cadillac,Yellow,36222
2004,Mazda,Orange,87741
2006,Volvo,Fuscia,48123
1997,Cadillac,Indigo,45116
2008,Land Rover,Crimson,72108
2005,Toyota,Purple,29150
2004,Pontiac,Green,93301
2009,Audi,Goldenrod,90743
2012,Ford,Green,26206
2004,Volkswagen,Violet,48348
1998,Ford,Puce,54230
1994,Buick,Mauv,75971
2004,Ford,Mauv,20961
1992,Chevrolet,Yellow,21074
2012,Land Rover,Turquoise,11669
2000,Mitsubishi,Aquamarine,17652
2000,Mazda,Pink,91097
2006,Honda,Crimson,58071
1998,Lexus,Turquoise,63567
1997,Hyundai,Green,29738
1992,Mazda,Purple,36255
2012,BMW,Indigo,93909
1992,Lincoln,Blue,4650
1989,Saab,Violet,26454
2011,Nissan,Turquoise,77889
2009,Dodge,Khaki,8153
2013,Kia,Red,98926
1992,Toyota,Teal,90768
1995,Volkswagen,Maroon,88980
1999,Lexus,Puce,28347
1991,Ford,Purple,69755
1988,Ford,Crimson,37372
1998,Chevrolet,Khaki,99997
1986,Ford,Green,31070
1984,Mercedes-Benz,Purple,75859
1996,Mitsubishi,Red,28204
2011,Lincoln,Crimson,22001
2002,Chevrolet,Blue,67947
2010,Mitsubishi,Fuscia,27626
2011,Ford,Blue,29367
1997,Kia,Khaki,90139
1997,Cadillac,Fuscia,16812
2002,Kia,Goldenrod,94382
2004,Infiniti,Turquoise,36043
2006,Hummer,Turquoise,88687
1995,Mazda,Orange,53425
1963,Chevrolet,Goldenrod,14626
2007,Nissan,Mauv,53557
2006,Infiniti,Pink,92786
1986,Ford,Aquamarine,67840
2011,Ford,Pink,3335
2012,Chevrolet,Mauv,85945
2002,Isuzu,Yellow,80628
1998,Chevrolet,Orange,21457
2006,Dodge,Violet,31954
1986,Mercury,Goldenrod,89
1995,Pontiac,Yellow,82921
1995,Volkswagen,Puce,21891
1997,BMW,Pink,79679
1997,Chevrolet,Puce,57247
2006,Chevrolet,Yellow,52384
2006,Chevrolet,Orange,53310
2010,Mercedes-Benz,Green,13530
1996,Kia,Fuscia,65157
2012,GMC,Orange,61674
2008,Mazda,Khaki,65305
1992,Daihatsu,Indigo,96170
1999,Isuzu,Puce,35724
2012,GMC,Crimson,81791
2011,Ford,Red,66328
1996,Kia,Orange,75546
2008,Bentley,Aquamarine,76692
1987,Mazda,Violet,47487
2012,Toyota,Blue,70775
2010,Subaru,Mauv,71239
1999,Mitsubishi,Blue,19135
2004,Saturn,Mauv,43096
1964,Ford,Pink,51294
2008,Chrysler,Goldenrod,83750
2011,Lincoln,Indigo,11645
2005,Maybach,Purple,57796
2007,Jeep,Violet,26569
2002,Toyota,Red,88454
2007,Mercury,Crimson,48812
2007,Infiniti,Mauv,57419
1999,Audi,Yellow,60117
2011,Hyundai,Mauv,66723
2001,Buick,Maroon,55317
1997,Toyota,Fuscia,41786
2000,Isuzu,Puce,65125
1996,Suzuki,Teal,45116
